Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,No,1052,5712,80,180,1.0,Urban,1
Female,Yes,2,Graduate,No,1356,2973,136,240,0.0,Semiurban,0
Male,No,2,Not Graduate,Yes,3913,1158,210,180,1.0,Semiurban,0
Male,Yes,0,Graduate,No,1310,0,130,360,0.0,Urban,0
Male,Yes,0,Graduate,No,6495,0,106,360,0.0,Semiurban,0
Male,No,0,Not Graduate,No,2836,2350,151,300,1.0,Rural,0
Male,Yes,0,Graduate,No,3165,1278,204,360,1.0,Urban,1
Female,No,0,Graduate,No,2453,730,69,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,5120,12999,157,360,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,5157,1661,296,360,1.0,Rural,1
Male,Yes,0,Not Graduate,No,3768,1487,189,360,1.0,Rural,1
Female,Yes,0,Not Graduate,No,4426,1935,139,360,1.0,Rural,1
Female,No,1,Not Graduate,No,2569,1563,197,360,0.0,Semiurban,0
Male,Yes,0,Graduate,No,4357,0,176,360,1.0,Urban,1
Male,Yes,1,Graduate,No,2353,3913,211,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2985,1677,39,360,1.0,Semiurban,1
Male,Yes,2,Graduate,No,2459,0,52,360,0.0,Semiurban,0
Male,No,2,Graduate,No,2164,1640,245,360,0.0,Rural,0
Male,Yes,0,Graduate,No,1840,1368,54,360,1.0,Semiurban,1
Male,No,0,Graduate,No,4135,0,170,360,0.0,Semiurban,0
Male,No,0,Graduate,No,7460,3650,108,360,0.0,Semiurban,0
Male,Yes,0,Not Graduate,No,6766,0,73,300,1.0,Urban,1
Male,No,1,Not Graduate,No,1236,839,165,360,1.0,Semiurban,0
Male,Yes,2,Graduate,No,7349,866,151,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,2385,0,476,360,1.0,Rural,0
Female,Yes,2,Graduate,No,4539,0,92,360,1.0,Semiurban,1
Male,No,0,Not Graduate,No,1580,1444,318,360,1.0,Rural,0
Male,No,0,Graduate,No,3292,0,165,300,1.0,Semiurban,1
Male,Yes,1,Graduate,No,3713,0,90,360,0.0,Urban,0
Male,No,0,Graduate,No,1054,1782,216,360,1.0,Urban,0
Male,Yes,1,Graduate,No,4563,0,188,360,0.0,Urban,0
Male,Yes,0,Graduate,No,7647,0,137,360,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,2637,1241,157,360,1.0,Urban,1
Female,No,3+,Graduate,Yes,7724,3731,93,360,1.0,Semiurban,1
Female,Yes,0,Graduate,No,2610,1109,81,360,1.0,Rural,1
Female,Yes,3+,Graduate,Yes,5402,2014,211,360,0.0,Semiurban,0
Male,Yes,3+,Graduate,No,1000,0,117,300,0.0,Rural,0
Male,Yes,2,Not Graduate,No,16206,0,127,360,1.0,Urban,1
Male,Yes,1,Graduate,No,8491,0,158,360,0.0,Semiurban,0
Male,Yes,1,Not Graduate,No,2442,1746,157,300,1.0,Urban,0
Male,No,2,Graduate,No,1000,1359,56,360,1.0,Rural,1
Male,Yes,0,Graduate,No,3646,1214,290,360,1.0,Urban,1
Male,Yes,0,Graduate,Yes,1084,1564,144,360,1.0,Semiurban,1
Female,Yes,1,Graduate,No,4069,1393,118,360,1.0,Semiurban,1
Male,No,0,Graduate,No,3976,0,173,360,1.0,Semiurban,1
Male,No,0,Graduate,Yes,1542,2326,154,360,1.0,Rural,1
Male,Yes,0,Graduate,No,6533,0,212,360,1.0,Urban,1
Male,No,0,Graduate,Yes,5239,0,185,360,1.0,Semiurban,1
Male,Yes,2,Not Graduate,No,5902,5528,206,360,0.0,Rural,0
Male,Yes,0,Not Graduate,Yes,2999,1948,302,360,1.0,Semiurban,0
Female,Yes,3+,Graduate,Yes,1106,3497,228,480,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,5910,1464,121,240,1.0,Urban,1
Female,Yes,2,Graduate,No,2466,0,68,120,1.0,Rural,0
Female,No,0,Graduate,No,1126,3418,365,360,1.0,Rural,0
Male,No,2,Not Graduate,No,7680,3311,116,360,1.0,Semiurban,1
Female,No,0,Graduate,No,12959,0,101,360,0.0,Rural,0
Male,Yes,2,Graduate,No,2896,1210,47,360,0.0,Semiurban,0
Male,Yes,0,Graduate,No,13512,783,164,300,1.0,Urban,1
Male,No,2,Not Graduate,No,3177,1765,146,300,1.0,Urban,0
Male,Yes,3+,Not Graduate,No,2283,4536,54,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1917,1501,176,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,9376,2895,99,360,1.0,Rural,1
Female,No,2,Graduate,No,1726,0,674,360,1.0,Semiurban,0
Male,Yes,0,Graduate,No,4987,0,95,360,1.0,Rural,1
Male,Yes,2,Graduate,No,2015,0,103,360,1.0,Semiurban,1
Male,No,0,Not Graduate,Yes,2159,0,79,360,0.0,Semiurban,0
Male,Yes,0,Graduate,No,6131,868,289,360,1.0,Urban,1
Female,Yes,3+,Graduate,No,2284,1043,107,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,2245,0,86,120,1.0,Rural,0
Female,Yes,2,Graduate,No,6587,0,205,360,1.0,Urban,1
Male,No,0,Not Graduate,No,9119,0,58,360,1.0,Rural,1
Male,Yes,1,Graduate,No,4681,2290,195,360,0.0,Rural,0
Male,Yes,1,Graduate,No,1884,2585,391,360,1.0,Semiurban,1
Female,No,1,Graduate,No,2085,1022,188,360,1.0,Semiurban,0
Male,No,1,Graduate,No,3152,870,196,240,1.0,Urban,0
Male,No,1,Graduate,No,3731,0,226,360,1.0,Urban,0
Male,Yes,0,Graduate,No,1492,0,374,360,1.0,Urban,1
Male,Yes,0,Graduate,No,4944,0,277,360,0.0,Semiurban,0
Male,No,2,Graduate,No,3164,0,174,360,1.0,Urban,0
Male,No,0,Graduate,No,1000,4175,230,360,1.0,Rural,1
Female,Yes,1,Graduate,No,1555,4602,78,240,0.0,Semiurban,0
Male,Yes,0,Not Graduate,No,2094,2022,213,240,1.0,Urban,0
Male,Yes,1,Graduate,No,2832,2632,73,180,1.0,Semiurban,1
Male,No,2,Graduate,Yes,11186,0,107,360,1.0,Rural,1
Male,Yes,0,Graduate,No,3521,0,21,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1654,3520,170,360,0.0,Semiurban,0
Male,Yes,0,Graduate,No,3478,2132,91,360,1.0,Rural,1
Male,No,1,Graduate,No,2329,0,261,360,0.0,Rural,0
Female,No,2,Graduate,Yes,3741,2021,169,360,1.0,Rural,1
Male,Yes,0,Graduate,No,4475,3935,263,360,0.0,Urban,0
Male,No,1,Graduate,No,6949,2067,70,360,1.0,Rural,1
Male,No,0,Graduate,No,2930,742,250,360,0.0,Urban,0
Male,Yes,0,Graduate,No,9388,4320,475,360,0.0,Rural,0
Male,Yes,3+,Graduate,No,5628,1024,212,360,1.0,Urban,1
Male,Yes,0,Graduate,No,1816,3834,215,480,1.0,Rural,1
Male,No,0,Graduate,No,14001,1712,148,360,1.0,Rural,1
Male,Yes,0,Graduate,Yes,3747,0,98,360,0.0,Urban,0
Male,Yes,0,Not Graduate,No,1661,3571,212,360,1.0,Rural,1
Male,No,0,Graduate,No,9480,0,54,240,1.0,Urban,1
Male,Yes,0,Not Graduate,No,12764,0,104,360,0.0,Urban,0
Male,No,1,Graduate,No,2912,2329,46,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2095,540,88,300,1.0,Rural,1
Male,Yes,0,Graduate,No,2642,0,197,360,0.0,Semiurban,0
Male,No,0,Not Graduate,Yes,4916,0,181,120,1.0,Semiurban,0
Female,No,0,Graduate,No,7291,0,138,360,0.0,Semiurban,0
Male,Yes,1,Graduate,No,4444,910,148,300,1.0,Rural,1
Male,No,3+,Graduate,No,3200,0,43,180,1.0,Rural,0
Male,No,0,Graduate,No,8506,0,107,360,1.0,Urban,1
Male,Yes,2,Graduate,No,2394,3434,89,360,1.0,Urban,1
Male,No,1,Not Graduate,No,6134,0,90,360,1.0,Urban,1
Male,Yes,0,Not Graduate,No,2436,2020,192,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,4030,1558,80,360,1.0,Urban,1
Female,Yes,0,Not Graduate,No,2753,0,93,360,1.0,Urban,1
Female,No,0,Graduate,No,2866,1205,38,360,1.0,Rural,1
Male,No,1,Graduate,No,2288,3282,112,360,1.0,Urban,1
Female,Yes,0,Graduate,No,7641,1553,69,360,1.0,Semiurban,1
Female,Yes,3+,Graduate,No,1784,1405,140,300,1.0,Semiurban,0
